,Sentence,label,transliterated
1669,Anjali Devi hi,not-Kannada,{'kn': 'ಅಂಜಲಿ ದೇವಿ ಹಾಯ್'}
1670,Vijay Prakash sakkath Voice,Not_offensive,{'kn': 'ವಿಜಯ್ ಪ್ರಕಾಶ್ ಸಕ್ಕತ್ ವೈಸ್'}
1671,Good msg man,not-Kannada,{'kn': 'ಗುಡ್ ಮಿಎಂಗಿಎನ್ ಮ್ಯಾನ್'}
1672,My most favorite song,not-Kannada,{'kn': 'ಮೈ ಮೋಸ್ಟ್ ಫೆವರಿಟ್ ಸಾಂಗ್'}
1673,Super cute little song,not-Kannada,{'kn': 'ಸೂಪರ್ ಕೇಟ್ ಲಿಟಲ್ ಸಾಂಗ್'}
1674,Hindi song yavaga release madtira?,Not_offensive,{'kn': 'ಹಿಂದಿ ಸಾಂಗ್ ಯಾವಾಗ ರಿಲೀಸ್ ಮದ್ತಿರ?'}
1675,For Bollywood,not-Kannada,{'kn': 'ಫೋರ್ ಬಾಲಿವುಡ್'}
1676,@Ajay Joshi nJaake karam johar ko pooch,Offensive_Targeted_Insult_Individual,{'kn': '@ಅಜಯ್ ಜೋಷಿ ನ್ಜಾಕೆ ಕಾರಂ ಜೋಹಾರ್ ಕೋ ಪೋಚ್'}
1677,A pistol idkondu hako step,Not_offensive,{'kn': 'ಏ ಪಿಸ್ಟಲ್ ಇದ್ಕೊಂಡು ಹಾಕೋ ಸ್ಟೇಪ್'}
1678,@prithvi nayak ನಿನ್ ತುಲ್ಲು ವಾಸ್ನಿ,Offensive_Targeted_Insult_Individual,{'kn': '@ಪೃಥ್ವಿ ನಾಯಕ್ ನಿನ್ ತುಲ್ಲು ವಾಸ್ನಿ'}
1679,@Chaitanya P ? Haagandre yenu? Nam hero yellakade gelbekalwa?..,Not_offensive,{'kn': '@ಚೈತನ್ಯ ಪಿಎಪ್ ? ಹಾಗಂದ್ರೆ ಏನು? ನಾಮ್ ಹೀರೋ ಎಲ್ಲಕದೆ ಗೆಳ್ಬೆಕಲ್ವ?..'}
1680,Super sangs super movie,not-Kannada,{'kn': 'ಸೂಪರ್ ಸಾಂಗ್ಸ್ ಸೂಪರ್ ಮೂವಿ'}
1681,Hatrale akige bindu gowda ge,Offensive_Targeted_Insult_Individual,{'kn': 'ಹ್ಯಾತ್ರಳೆ ಆಕಿಗೆ ಬಿಂದು ಗೌಡ ಗೆ'}
1682,Bro ur voice NYC bro,not-Kannada,{'kn': 'ಬ್ರೋ ಔರ್ ವೈಸ್ ನೈಸ್ ಬ್ರೋ'}
1683,@vinay vinu ಅಶ್ವತ್ಥಾಮ ಹೇಗೆ ಚಿರಂಜೀವಿಯೋ ಹಾಗೆಯೇ ಭಗವಾನ್ ಪರಶುರಾಮರು ಚಿರಂಜೀವಿನೆ ಅಲ್ವಾ... ಹೇಗಾದ್ರು ಮಾಡಿ ಅವರ ಹತ್ರ ಇರೋ ಅಸ್ತ್ರಗಳನ್ನು ಪ್ರಯೋಗಿಸಿ ಪಾಕಿಸ್ತಾನದ ಉಗ್ರಗಾಮಿಗಳನ್ನ ನಾಶ ಮಾಡೋಕ್ಕಾಗಲ್ವ...,Offensive_Untargetede,{'kn': '@ವಿನಯ್ ವೀಣು ಅಶ್ವತ್ಥಾಮ ಹೇಗೆ ಚಿರಂಜೀವಿಯೋ ಹಾಗೆಯೇ ಭಗವಾನ್ ಪರಶುರಾಮರು ಚಿರಂಜೀವಿನೆ ಅಲ್ವಾ... ಹೇಗಾದ್ರು ಮಾಡಿ ಅವರ ಹತ್ರ ಇರೋ ಅಸ್ತ್ರಗಳನ್ನು ಪ್ರಯೋಗಿಸಿ ಪಾಕಿಸ್ತಾನದ ಉಗ್ರಗಾಮಿಗಳನ್ನ ನಾಶ ಮಾಡೋಕ್ಕಾಗಲ್ವ...'}
1684,Swabhimaani neevu. Keep it up,Not_offensive,{'kn': 'ಸ್ವಾಭಿಮಾನಿ ನೀವು. ಕೀಪ್ ಐಟಿ ಅಪ್'}
1685,Dislike madiroru kgf fans ..,not-Kannada,{'kn': 'ದಿಸ್ಲಿಕೆ ಮಾಡಿರೋರು ಜೆಬ್ ಫ್ಯಾನ್ಸ್ ..'}
1686,after karaabu*,not-Kannada,{'kn': 'ಆಫ್ಟರ್ ಕರಾಬು*'}
1687,@Madhu Madhu hello bro navu tulunad navru tulu namma matru bashe aste abhimana kannada bashe melu ide,Not_offensive,{'kn': '@ಮಧು ಮಧು ಹೆಲ್ಲೊ ಬ್ರೋ ನಾವು ತುಳುನಾಡ್ ನವರು ತುಳು ನಮ್ಮ ಮಾತ್ರು ಬಾಷೆ ಆಸ್ಥೆ ಅಭಿಮಾನ ಕನ್ನಡ ಬಾಷೆ ಮೇಲು ಇದೇ'}
1688,Jai modiji for tik tok ban 🥰🥰🥰,not-Kannada,{'kn': 'ಜೈ ಮೋದಿಜಿ ಫೋರ್ ಟಿಕ್ ಟೋಕ್ ಬ್ಯಾನ್ 🥰🥰🥰'}
1689,Yup daily  rakshit,not-Kannada,{'kn': 'ಯುವ್ ಡೇಲಿ ರಕ್ಷಿತ್'}
1690,ಒಂದೊಳ್ಳೆ ಚಿತ್ರಕ್ಕೆ ಈ ರೀತಿ  ಚಿತ್ರಮಂದಿರ ಸಮಸ್ಯೆ ಆಗಬಾರದು,Offensive_Untargetede,{'kn': 'ಒಂದೊಳ್ಳೆ ಚಿತ್ರಕ್ಕೆ ಈ ರೀತಿ ಚಿತ್ರಮಂದಿರ ಸಮಸ್ಯೆ ಆಗಬಾರದು'}
1691,444444 super 30,not-Kannada,{'kn': '444444 ಸೂಪರ್ 30'}
1692,@Mahesh 13 1- Rajkumar chitragalanu naanu nodidheeni. Haadu ishta pattidheeni. Adhrey avara haadey best antha illaa.nn2- Songs music composing aaa? Ilayaraja goththaa? Shankar Ganesh goththaa? Haris Jayaraj goththaa? AR Rahman? Santhosh Narayanan? MS Viswanathan? Deva? Ivarella Rajkumar illadhe yeshtu hit songs kottidhaare goththaa Kannada dhalli? nShankar Ganesh thagolli. Average music director. Avara Kannada songs tune aagley bayankara craze - Karunaada Thaayi Sadha chinmayee,Not_offensive,{'kn': '@ಮಹೇಶ 13 1- ರಾಜಕುಮಾರ್ ಚಿತ್ರಗಳನ್ನು ನಾನು ನೋಡಿಧೀನಿ. ಹಾಡು ಇಷ್ಟ ಪತ್ತಿಧೀನಿ. ಅದ್ರೆ ಅವರ ಹಾಡಿ ಬೆಸ್ಟ್ ಅಂಥ ಇಲ್ಲಾ.ನೀನ್2- ಸಾಂಗ್ಸ್ ಮ್ಯೂಸಿಕ್ ಕಂಪೋಸಿಂಗ್ ಆ? ಇಲಾಯಾರಜ ಗೋತ್ತಾ? ಶಂಕರ್ ಗಣೇಶ್ ಗೋತ್ತಾ? ಹೇರಿಸ್ ಜಯರಾಜ್ ಗೋತ್ತಾ? ಆರ್ ರಹಮನ್? ಸಂತೋಷ್ ನಾರಾಯಣನ್? ಎಂಸ್ ವಿಶ್ವನಾಥನ್? ದೇವ? ಇವರೆಲ್ಲ ರಾಜಕುಮಾರ್ ಇಲ್ಲದೆ ಎಷ್ಟು ಹಿಟ್ ಸಾಂಗ್ಸ್ ಕೊಟ್ಟಿದ್ದಾರೆ ಗೋತ್ತಾ ಕನ್ನಡ ದಲ್ಲಿ? ನ್ಷಂಕರ್ ಗಣೇಶ್ ತಗಲ್ಲಿ. ಅವರೆಗೆ ಮ್ಯೂಸಿಕ್ ಡೈರೆಕ್ಟರ್. ಅವರ ಕನ್ನಡ ಸಾಂಗ್ಸ್ ಟನ್ ಆಗ್ಲೆ ಬಯಂಕರ ಕ್ರೇಜ್ - ಕರುಣಾದ ದಾಯಿ ಸಾಧಾ ಚಿನ್ಮಯೀ'}
1693,ಚರಿತ್ರೆ ಸೃಷ್ಟಿಸೊ ಅವತಾರ ಅಷ್ಟೇ ಅಲ್ಲ ಚರಿತ್ರೆ ಜೊತೆ ಇತಿಹಾಸನ ಉಲ್ಟಾ ಮಾಡೋ ಅವತಾರ all the best ರಕ್ಷಿತ್ boss and 100 days running successful ಆಗೆ ಆಗುತ್ತೆ,Not_offensive,{'kn': 'ಚರಿತ್ರೆ ಸೃಷ್ಟಿಸೊ ಅವತಾರ ಅಷ್ಟೇ ಅಲ್ಲ ಚರಿತ್ರೆ ಜೊತೆ ಇತಿಹಾಸನ ಉಲ್ಟಾ ಮಾಡೋ ಅವತಾರ ಆಲ ದ ಬೆಸ್ಟ್ ರಕ್ಷಿತ್ ಬಾಸ್ ಆಂಡ್ 100 ಡೇಸ್ ರನ್ನಿಂಗ್ ಸರ್ಸೆಸ್ಸ್ಟ್ ಆಗೆ ಆಗುತ್ತೆ'}
1694,ಕನ್ನಡವನ್ನು ಇನ್ನೊಂದು ಹಂತಕ್ಕೆ ಕೊಂಡೊಯ್ಯುವುದರಲ್ಲಿ ಸಂದೇಹವೇ ಇಲ್ಲ...nರಶ್ಮಿಕ ಕಕ್ಕ ಅವರೇ ನೋಡಿ ಉರ್ಕೊಳ್ಳಿ,Offensive_Targeted_Insult_Other,{'kn': 'ಕನ್ನಡವನ್ನು ಇನ್ನೊಂದು ಹಂತಕ್ಕೆ ಕೊಂಡೊಯ್ಯುವುದರಲ್ಲಿ ಸಂದೇಹವೇ ಇಲ್ಲ...ನ್ರಶ್ಮಿಕ ಕಕ್ಕ ಅವರೇ ನೋಡಿ ಉರ್ಕೊಳ್ಳಿ'}
1695,Nayanappa's book ??,not-Kannada,"{'kn': ""ನಯನಪ್ಪ'ಎಸ್ ಬುಕ್ ??""}"
1696,Super movie  bera level kannada industry kodithe bro yellaru miss madthe nodbaku,Not_offensive,{'kn': 'ಸೂಪರ್ ಮೂವಿ ಬೇರಾ ಲೆವಲ್ ಕನ್ನಡ ಇಂಡಸ್ಟ್ರಿ ಕೊಡಿದೆ ಬ್ರೋ ಎಲ್ಲರೂ ಮಿಸ್ ಮಲ್ತೆ ನೋಡ್ಬಾಕು'}
1697,Thumba chanegide sir,Not_offensive,{'kn': 'ತುಂಬ ಚನೆಗಿದೆ ಸಾರ್'}
1698,Modalu ninu pubj band madu nanu tik tok  down load madilla nanu use made Ella please delete from pubj,Not_offensive,{'kn': 'ಮೊದಲು ನೀನು ಪಬ್ಬ್ ಬ್ಯಾಂಡ್ ಮಾಡು ನಾನು ಟಿಕ್ ಟೋಕ್ ಡೌನ್ ಲೋಡ್ ಮಾಡಿಲ್ಲ ನಾನು ಯೂಸ್ ಮಾಡೆ ಎಲ್ಲಾ ಪ್ಲೀಸ್ ದೆಲೆಟ್ ಫ್ರಮ್ ಪಬ್ಬ್'}
1699,Jai d bosss,not-Kannada,{'kn': 'ಜೈ ಡ್ ಬಾಸ್'}
1700,ಟೃಂಡಿಂಗ್ ನಂಬರ್ . 1,Not_offensive,{'kn': 'ಟೃಂಡಿಂಗ್ ನಂಬರ್ . 1'}
1701,Yen thapu illa Inna chanag ugibeku,Not_offensive,{'kn': 'ಏನ್ ದಾಪು ಎಲ್ಲಾ ಇನ್ನ ಚನಾಗ್ ಉಗಿಬೇಕು'}
1702,ಎಲ್ಲರೂ HANDS UP ಸೈಲೆಂಟ್ ಆಗಿರಿ ಶ್ರೀ ಮನ್ನಾ ರಾಯನ ಬಂದವ್ನೆ...,Not_offensive,{'kn': 'ಎಲ್ಲರೂ ಹಂದ ಅಪ್ ಸೈಲೆಂಟ್ ಆಗಿರಿ ಶ್ರೀ ಮನ್ನಾ ರಾಯನ ಬಂದವ್ನೆ...'}
1703,Youtube channel nalli ASN release promos upload madi sir,Not_offensive,{'kn': 'ಯುಟ್ಯೂಬ್ ಚಾನಲ್ ನಲ್ಲಿ ಆನ್ಸ್ ರಿಲೀಸ್ ಪ್ರೋಮಸ್ ಅಪ್ಲೋಡ್ ಮಾಡಿ ಸಾರ್'}
1704,ನಾವು ಸಣ್ಣವರದ್ದೀಗಾ ಈ ನಾಟಕ ಹಳೇ ನೆನಪು ಬರತ್ತ ಇದೆ ಇದನ್ನ ಕೇಳಿ ಪುನಃ ಪುನಃ ಕೇಳಬೇಕು ಅನಿಸುತ್ತೆ ಶಂಭು ಬಳಿಗಾರ ದೊಡ್ಡ ನಮಸ್ಕಾರ ಇದೇ ತರ ನುಚ್ಚಿನ ಮಲ್ಲಯ್ಯ ನಾಟಕ ಆಪ್ ಲೋಡ್ ಮಾಡಿ,Not_offensive,{'kn': 'ನಾವು ಸಣ್ಣವರದ್ದೀಗಾ ಈ ನಾಟಕ ಹಳೇ ನೆನಪು ಬರತ್ತ ಇದೆ ಇದನ್ನ ಕೇಳಿ ಪುನಃ ಪುನಃ ಕೇಳಬೇಕು ಅನಿಸುತ್ತೆ ಶಂಭು ಬಳಿಗಾರ ದೊಡ್ಡ ನಮಸ್ಕಾರ ಇದೇ ತರ ನುಚ್ಚಿನ ಮಲ್ಲಯ್ಯ ನಾಟಕ ಆಪ್ ಲೋಡ್ ಮಾಡಿ'}
1705,Superb sir,not-Kannada,{'kn': 'ಸುಪರ್ಬ್ ಸಾರ್'}
1706,ಸ್ವಾಭಿಮಾನಿ ಶಂಕರ,Not_offensive,{'kn': 'ಸ್ವಾಭಿಮಾನಿ ಶಂಕರ'}
1707,Wow boss sariyagi helidhira but use madorige sariyagi heli next video,Not_offensive,{'kn': 'ವು ಬಾಸ್ ಸರಿಯಾಗಿ ಹೇಳಿಧಿರ ಬೂತ್ ಯೂಸ್ ಮದೊರಿಗೆ ಸರಿಯಾಗಿ ಹೇಳಿ ನೆಕ್ಸ್ಟ್ ವೀಡಿಯೋ'}
1708,super ತೊಗರಿ ತಿಪ್ಪ,Not_offensive,{'kn': 'ಸೂಪರ್ ತೊಗರಿ ತಿಪ್ಪ'}
1709,Nim bagge nanu kai hetthi mugithini shankar ashwath sir,Not_offensive,{'kn': 'ನಿಮ್ ಬಗ್ಗೆ ನಾನು ಕೈ ಹೆತ್ತಿ ಮುಗಿತಿನಿ ಶಂಕರ್ ಅಶ್ವಥ್ ಸಾರ್'}
1710,Super sir,not-Kannada,{'kn': 'ಸೂಪರ್ ಸಾರ್'}
1711,Good job sir,not-Kannada,{'kn': 'ಗುಡ್ ಜಾಬ್ ಸಾರ್'}
1712,@Nandi Parthasarathi 🤘ಉರ್ಕೊಂಡು ಊರ ಬಿದ್ದರು ಅಂದ್ರೆ🤫🤫 ತಿಕ ಕುಡ್ಕೊಂಡು ಕಾಮೆಂಟ್ ಮಾಡಕ್ ಬಂದಿದ್ದೀರಾ🤣🤣,Offensive_Targeted_Insult_Individual,{'kn': '@ನಂದಿ ಪರ್ಥಸರಾತಿ 🤘ಉರ್ಕೊಂಡು ಊರ ಬಿದ್ದರು ಅಂದ್ರೆ🤫🤫 ತಿಕ ಕುಡ್ಕೊಂಡು ಕಾಮೆಂಟ್ ಮಾಡಕ್ ಬಂದಿದ್ದೀರಾ🤣🤣'}
1713,ತೋ ಗರಿ  ತಿಪ್ಪಾ ಸೂಪರ,Not_offensive,{'kn': 'ತೋ ಗರಿ ತಿಪ್ಪಾ ಸೂಪರ'}
1714,Edu edu kannada industry... Olle kalavidrige,Not_offensive,{'kn': 'ಎದು ಎದು ಕನ್ನಡ ಇಂಡಸ್ಟ್ರಿ... ಒಳ್ಳೆ ಕಲಾವಿದರಿಗೆ'}
1715,Well said broi,not-Kannada,{'kn': 'ವೆಲ್ ಸೈಡ್ ಬ್ರೇ'}
1716,Idella yake Kannada Films Dodda samrajjya ne katbeku Dodda Charitrene Srusti madbeku anta helu....,Not_offensive,{'kn': 'ಇದೆಲ್ಲ ಯಾಕೆ ಕನ್ನಡ ಫಿಲ್ಮಸ್ ದೊಡ್ಡ ಸಾಮ್ರಾಜ್ಯ ನೇ ಕಟ್ಬೇಕು ದೊಡ್ಡ ಚೆರಿಟ್ರೇನ್ ಶೃಷ್ಟಿ ಮಾಡ್ಬೇಕು ಅಂತ ಹೇಳು....'}
1717,Super super rakshit Shetty king.star,Not_offensive,{'kn': 'ಸೂಪರ್ ಸೂಪರ್ ರಕ್ಷಿತ್ ಶೆಟ್ಟಿ ಕಿಂಗ್.ಸ್ಟಾರ್'}
1718,Hindi mai karo plz,not-Kannada,{'kn': 'ಹಿಂದಿ ಮೈ ಕರೋ ಪಿಜಿ'}
1719,We want grow Kannada industry,not-Kannada,{'kn': 'ವೇ ವಾಂಟ್ ಗ್ರೋ ಕನ್ನಡ ಇಂಡಸ್ಟ್ರಿ'}
1720,Tq sis ದೇಶಕ್ಕೆ support ಮಾಡ್ತಿರೋದಕ್ಕೆ,Not_offensive,{'kn': 'ಟೆಕಿ ಸಿಸ್ ದೇಶಕ್ಕೆ ಸುಪ್ಪೋರ್ಟ್ ಮಾಡ್ತಿರೋದಕ್ಕೆ'}
1721,See #2 on trending .,Not_offensive,{'kn': 'ಸೀ #2 ಒನ್ ಟ್ರೆಂಡಿಂಗ್ .'}
1722,Le mc tuje dislike logoo ka kya lena dena.... Magyaa,not-Kannada,{'kn': 'ಲೇ ಎಡಿಎಸಿಎಸಿ ತುಜೆ ದಿಸ್ಲಿಕೆ ಲೋಗೋ ಕಾ ಕ್ಯಾ ಲೇನ್ ದೇನ.... ಮಯ್ಯಾ'}
1723,Hands up for #ASN,not-Kannada,{'kn': 'ಹಂದ ಅಪ್ ಫೋರ್ #ಆನ್ಸ್'}
1724,Tik tok ban,not-Kannada,{'kn': 'ಟಿಕ್ ಟೋಕ್ ಬ್ಯಾನ್'}
1725,ಸರ್ bigg boss house ಗೆ ಹೋಗಿ ನೀವೇ ಗೆಲ್ತಿರಾ 🥺,Not_offensive,{'kn': 'ಸರ್ ಬಿಗ್ ಬಾಸ್ ಹೌಸ್ ಗೆ ಹೋಗಿ ನೀವೇ ಗೆಲ್ತಿರಾ 🥺'}
1726,ರಕ್ಷಿತ್ ಶೆಟ್ಟಿಯವರು ವಷ೯ಕೊಂದು nಮೂವಿ ಮಾಡಿ ಅನ್ನೋರು ಲೈಕ್nಮಾಡಿ,Not_offensive,{'kn': 'ರಕ್ಷಿತ್ ಶೆಟ್ಟಿಯವರು ವಷ೯ಕೊಂದು ನ್ಮೂವಿ ಮಾಡಿ ಅನ್ನೋರು ಲೈಕ್ನ್ಮಾಡಿ'}
1727,@Nandi Parthasarathi nadiyole sule magane Nam style Nam ista ning yako thika uri,Offensive_Targeted_Insult_Individual,{'kn': '@ನಂದಿ ಪರ್ಥಸರಾತಿ ನಡಿಯೊಳೆ ಸುಳೆ ಮಗನೆ ನಾಮ್ ಸ್ಟೈಲ್ ನಾಮ್ ಇಸ್ತ ನಿಂಗ್ ಯಾಕೋ ತಿಕ ಊರಿ'}
1728,Nakkan idhu idhu roast andhery,Not_offensive,{'kn': 'ನಕ್ಕನ್ ಇಧು ಇಧು ರೋಸ್ಟ್ ಅಂಧೇರಿ'}
1729,Bai rakshith avri nan msg nodudri yargu agllilla aa thukali dagarna madvi madkolak hogbedi,Offensive_Targeted_Insult_Individual,{'kn': 'ಬಾಯ್ ರಕ್ಷಿತ್ ಆವರಿ ನಾನ್ ಮಿಎಂಗಿಎನ್ ನೋಡುದ್ರಿ ಯಾರ್ಗು ಆಗಲ್ಲಿಲ್ಲ ಆ ತುಕಾಲಿ ದಗರ್ಣ ಮದ್ವಿ ಮಧ್ಕೋಲಕ್ ಹೊಗ್ಬೇಡಿ'}
1730,Sir lahari music navru karaoke uplode madtidare new song  nivu uplode madi  lyirical song ge karaoke add madi  uplode madi,Not_offensive,{'kn': 'ಸಾರ್ ಲಹರಿ ಮ್ಯೂಸಿಕ್ ನವರು ಕರೋಕೆ ಅಪ್ಲೋಡ್ ಮಾಡ್ಟಿದರೆ ನ್ಯೂ ಸಾಂಗ್ ನೀವು ಅಪ್ಲೋಡ್ ಮಾಡಿ ಲ್ಯಾರಿಕಲ್ ಸಾಂಗ್ ಗೆ ಕರೋಕೆ ಆಡ್ ಮಾಡಿ ಅಪ್ಲೋಡ್ ಮಾಡಿ'}
1731,Eli eddeli boss nim time bandide,Not_offensive,{'kn': 'ಏಳಿ ಎಡ್ಡೆಲಿ ಬಾಸ್ ನಿಮ್ ಟೈಮ್ ಬಂದಿದೆ'}
1732,ಹೌದು ಅವನು ನನಗೆ ರಾತ್ರಿ  ಬೇಟಿಯಾಗಿದ್ದ ಕಣ್ಣು ಮುಚ್ಚಿ  ತೆಗೆಯೋದರೂಳಗೆ ಬೆಳಕಾಗಿತ್ತು,Not_offensive,{'kn': 'ಹೌದು ಅವನು ನನಗೆ ರಾತ್ರಿ ಬೇಟಿಯಾಗಿದ್ದ ಕಣ್ಣು ಮುಚ್ಚಿ ತೆಗೆಯೋದರೂಳಗೆ ಬೆಳಕಾಗಿತ್ತು'}
1733,@Manjunath shetty Bhatkal bro...nanna friend Manju film industrynalli iddane...namma urinavre...nanna friend...nanna contactnalli iddne... script matadiddeve....ottige seri discuss madona ...,Not_offensive,{'kn': '@ಮಂಜುನಾಥ್ ಶೆಟ್ಟಿ ಭಟ್ಕಲ್ ಬ್ರೋ...ನನ್ನ ಫ್ರೆಂಡ್ ಮಂಜು ಫಿಲ್ಮ್ ಇಂಡಸ್ಟ್ರಿನಲ್ಲಿ ಇದ್ದಾನೆ...ನಮ್ಮ ಊರಿನಾವರೆ...ನನ್ನ ಫ್ರೆಂಡ್...ನನ್ನ ಕಂಟಕ್ಟಿನಲ್ಲಿ ಇದ್ದನೇ... ಸ್ಕ್ರಿಪ್ಟ್ ಮಾತಾಡಿದ್ದೇವೆ....ಒಟ್ಟಿಗೆ ಸೇರಿ ಡಿಸ್ಕಸ್ ಮಾಡೋನ ...'}
1734,@Creative Kannadiga  le gubald atte Alla magalaganda andangaitu,Not_offensive,{'kn': '@ಕ್ರಿಯೇಟಿವ್ ಕನ್ನಡಿಗ ಲೇ ಗೂಬಲ್ಡ್ ಅತ್ತೆ ಅಲ್ಲಾ ಮಗಳಗಂಡ ಅಂದಂಗಾಯಿತು'}
1735,Super star of Kannada film industry,Not_offensive,{'kn': 'ಸೂಪರ್ ಸ್ಟಾರ್ ಅಫ್ ಕನ್ನಡ ಫಿಲ್ಮ್ ಇಂಡಸ್ಟ್ರಿ'}
1736,Sariyagi helidira bro,Not_offensive,{'kn': 'ಸರಿಯಾಗಿ ಹೇಳಿದರು ಬ್ರೋ'}
1737,Togari tipppa story super,not-Kannada,{'kn': 'ತೊಗರಿ ತಿಪ್ಪ ಸ್ಟೋರಿ ಸೂಪರ್'}
1738,Ultimate HANDS UP,not-Kannada,{'kn': 'ಉಳ್ತಿಮತೆ ಹಂದ ಅಪ್'}
1739,ಬಹುಷಃ ಬಿಡುಗಡೆ ಸಮಯದಲ್ಲಿ ಸಿನಿಮಾ ಜಾಹೀರಾತುಗಳು ಒಂದು ಜನರಿಗೆ ಮುಟ್ಟಿಲ್ಲ ಅನ್ಸುತ್ತೆ....,Not_offensive,{'kn': 'ಬಹುಷಃ ಬಿಡುಗಡೆ ಸಮಯದಲ್ಲಿ ಸಿನಿಮಾ ಜಾಹೀರಾತುಗಳು ಒಂದು ಜನರಿಗೆ ಮುಟ್ಟಿಲ್ಲ ಅನ್ಸುತ್ತೆ....'}
1740,ಸೂಪರ್  ಲಿರಿಕ್ಸ್,Not_offensive,{'kn': 'ಸೂಪರ್ ಲಿರಿಕ್ಸ್'}
1741,Nan uninstall madhe,Not_offensive,{'kn': 'ನಾನ್ ಯೂನಿನ್ಸ್ಟಲ್ ಮಧೆ'}
1742,ಇದು ಚರಿತ್ರೆ ಸ್ರಷ್ಟಿಸೋ ಅವತಾರ...,Not_offensive,{'kn': 'ಇದು ಚರಿತ್ರೆ ಸ್ರಷ್ಟಿಸೋ ಅವತಾರ...'}
1743,Urkond Sai beku,Offensive_Untargetede,{'kn': 'ಅರ್ಕೊಂಡ್ ಸೈ ಬೇಕು'}
1744,Is it true,not-Kannada,{'kn': 'ಐಎಸ್ ಐಟಿ ಟ್ರೂ'}
1745,Nanu tiktak ballisilla avivekialu youtub nu... Kuda almadutidira nimmantorinda aellu agutte,Offensive_Targeted_Insult_Group,{'kn': 'ನಾನು ತಿಕ್ತಕ್ ಬಳ್ಳಿಸಿಲ್ಲ ಅವಿವೇಕಿಲಲು ಯುಟಬ್ ನೂ... ಕೂಡಾ ಅಲ್ಮಾಡುತಿದಿರ ನಿಮ್ಮಂತೋರಿಂದ ಅಳ್ಳು ಆಗುತ್ತೆ'}
1746,Estella matadonu elli matadodkintta border ge hogi matado maraya,Offensive_Targeted_Insult_Individual,{'kn': 'ಎಸ್ಟೆಲ್ಲಾ ಮತದೊನು ಎಲ್ಲಿ ಮಾತದೊರ್ಬಿಂತ ಬಾರ್ಡರ್ ಗೆ ಹೋಗಿ ಮಾತಾಡೋ ಮಾರಾಯ'}
1747,Super song,not-Kannada,{'kn': 'ಸೂಪರ್ ಸಾಂಗ್'}
1748,It looks like rangitharanga-2,not-Kannada,{'kn': 'ಐಟಿ ಲುಕ್ಸ್ ಲೈಕ್ ರಂಗಿತರಂಗ-2'}
1749,ಸುಮಾರು ೨೪-೨೫ ವರ್ಷದ ಹಿಂದೆ ಕ್ಯಾಸೆಟ್ ಮೂಲಕ ಕೇಳಿದ ತೊಗರಿ ತಿಪ್ಪನ ಕಥೆಯಿದು. ಇಂದಿಗೂ ಅದೇ ನಗು,Not_offensive,{'kn': 'ಸುಮಾರು ೨೪-೨೫ ವರ್ಷದ ಹಿಂದೆ ಕ್ಯಾಸೆಟ್ ಮೂಲಕ ಕೇಳಿದ ತೊಗರಿ ತಿಪ್ಪನ ಕಥೆಯಿದು. ಇಂದಿಗೂ ಅದೇ ನಗು'}
1750,Tenniske Baal,Offensive_Untargetede,{'kn': 'ತೆನ್ನಿಸ್ಕೆ ಬಾಲ್'}
1751,Super heart touching movies. Wonderful beautiful film. ಈ ಚಲನಚಿತ್ರವನ್ನು ಹೇಗೆ ವರ್ಣಿಸಬೇಕು ಅಂತ ಗೊತ್ತಾಗ್ತಿಲ್ಲ. ಪದಗಳೇ ಸಿಗುತ್ತಿಲ್ಲ. ನಾವು ಅಂತು n Waiting dia  chapter 2.,Not_offensive,{'kn': 'ಸೂಪರ್ ಹಾರ್ಟ್ ಟಚ್ ಮೂವೀಸ್. ವಂಡರ್ಫುಲ್ ಬ್ಯೂಟಿಫುಲ್ ಫಿಲ್ಮ್. ಈ ಚಲನಚಿತ್ರವನ್ನು ಹೇಗೆ ವರ್ಣಿಸಬೇಕು ಅಂತ ಗೊತ್ತಾಗ್ತಿಲ್ಲ. ಪದಗಳೇ ಸಿಗುತ್ತಿಲ್ಲ. ನಾವು ಅಂತು ನ್ ವೈಟಿಂಗ್ ಡಿಯಾ ಚಾಪ್ಟರ್ 2.'}
1752,hi good day next,not-Kannada,{'kn': 'ಹಾಯ್ ಗುಡ್ ಡೇ ನೆಕ್ಸ್ಟ್'}
1753,ಬಸವರಾಜ ಕೆಂಚರಡ್ಡಿ super,Not_offensive,{'kn': 'ಬಸವರಾಜ ಕೆಂಚರಡ್ಡಿ ಸೂಪರ್'}
1754,Hands Up songnH i n d i . . .,not-Kannada,{'kn': 'ಹಂದ ಅಪ್ ಸಾಂಗ್ ಈ ನ್ ಡ್ ಈ . . .'}
1755,Game name henu bro,Not_offensive,{'kn': 'ಗೇಮ್ ನೇಮ್ ಹೇನು ಬ್ರೋ'}
1756,@abhi k patil yes.... ASN,not-Kannada,{'kn': '@ಅಭಿ ಕಿ ಪಾಟೀಲ್ ಯಸ್.... ಆನ್ಸ್'}
