,tweets,labels
5470,Love u VP  sir super song super voice  RS is a legend Love u,5
5471,ನಮಸ್ಕಾರ super bro,0
5472,a d b boss,5
5473,Super  song I like it so much,0
5474,@d boss mania Bhrame nalli baduktidiya chinna nnModlu darshan ye boss ge bucket hidadu beladirodu adunna taleli itko nnDarshan antha 100 jana na industry boss belsavrennavryako innobban ge bucket hiditare bucket nan magne,4
5475,Superb song,0
5476,Rasmika ge  uribeku nimma cenema successful kanabeku hagu nimma jodi shanvi madam rakshit shetty jote  maduve agabeku idu nimma abhimani asheya,2
5477,Super sir.ನಾವು ಚಿಕ್ಕವರಿದ್ದಾಗ ನಮ್ಮ ಕುಟುಂಬದವರು ಎಲ್ಲರೂ ಸೇರಿ ಕೇಳುತ್ತಿದ್ದೆವು.ನಮ್ಮ ಅಪ್ಪನ ಅಚ್ಚುಮೆಚ್ಚಿನ ಹಾಸ್ಯ ಕಾರ್ಯಕ್ರಮ ಇದು,0
5478,Wow super super super jai India,5
5479,@Nandi Parthasarathi hogo sulemgne urkondu barbeda illi ninna akkna keya wait for Roberrt,2
5480,ವಿಜಯ್ ಮಲ್ಯ ಅವರೇ,0
5481,ಟಿಕ ಟಾಕ್ ಹೀರೋ ಹೀರೋಯಿನಗಳ  ತಿಥಿ ಊಟ ಹಾಕಸು ಗುರು creative ಕನ್ನಡಿಗ,1
5482,@chetan kumarab nan yavagloo compare maddhe...,2
5483,26k dislikes nThese are rashmika fans,1
5484,Shanvi shreevastav bittu bere yav hugiru illa ankondidde,0
5485,Sar nanu nemma thandhe Abimani          Sar good luck,0
5486,ಚಂದನ್ ಶೆಟ್ಟಿ ಟ್ರೊಲ್ ವಿಡಿಯೋ ನೀವು ನೋಡಿ ನೆಗಡ್ಡೆ ಇದ್ರೆ ನಾವ್ ಗ್ಯಾರಂಟಿ,0
5487,@Darshan Jain 🤣🤣🤣🤣🤣🤣🤣🤟🤟🤘🤘gottu bidu maga ningu avna bagge sumne yake bildup,2
5488,Re relice agbeku,0
5489,Akhilanda koti brahmand nayaka simple star,0
5490,ನಾವೇ thukali stars ಅಂತ ಟಿಕ್ tak maritha idru ಕೆಲ sade ಗಳು ivaga ಮನೇಲಿ ಮುಸುರೆ ತಿಕ್ಕಿ baddetava,1
5491,super tippa story,0
5492,Tiktok ben agbek bro,0
5493,All the best...... ಅವನೇ ಶ್ರೀಮನ್ನಾರಾಯಣ ..ಟೀಮ್......ರಕ್ಷಿತ್ ಶೆಟ್ಟಿ ಸರ್......frm ಯಶ್ ಬಾಸ್ fan,0
5494,Unique actor...... super maga,0
5495,Allow illo kelid nenapu,0
5496,Hindi m kb aayega... Hindi m v ache se promotion kijiye plz,5
5497,ಖಂಡಿತ ಹೌದು ಚರಿತ್ರೆ ಸೃಷ್ಟಿಸುತ್ತದೆ  100%,0
5498,Super movie dai,5
5499,2020 super song,5
5500,Matte Hands up enu?,0
5501,Music superaagi kottidiya guru,0
5502,Pakka hit movie,5
5503,BGM neXt levEl nswAg...!,0
5504,kiran kumar same here,5
5505,youtu.be/C3... nnಇದು ಚರಿತ್ರೆ ಸೃಷ್ಟಿಸೋ ಅವತಾರnಅವನೇ ಶ್ರೀಮನ್ ನಾರಾಯಣ nnHands up!! n#ASN,0
5506,ಶತದಿನೋತ್ಸವ ಆಚರಿಸಲೇಂದು ಕಿಚ್ಚಾ ಬಾಸ್ ಪ್ಯಾನ್ಸ್ ವತಿಯಿಂದ ಹಾರ್ದಿಕ ಶುಭಾಶಯಗಳು,0
5507,All are fake,5
5508,ನಿಮ್ಮ ದ್ವನಿ ಹೀಗೆ ಬರಲಿ ಸರ್ ಟ್ರೈಲರ್ ಅದ್ಭುತವಾಗಿದೆ,0
5509,All the best for rocking star fans  song vibinna vagidhe,5
5510,MANJUNATH HMv bobby j?,5
5511,Super your video  nice,5
5512,ಎಲ್ಲಿ ವರೆಗು.ನಿವು ಟೈಟಲ್ ಕೆಳಿ ಸಿನಿಮಾ ಒಪ್ಪಿ ಕೊಳ್ಳುತ್ತಿರೊ.ಅಲ್ಲಿವರೆಗೆ ನಿಮ್ಮ ಯಶಸ್ಸಿನ ಬಾಗಿಲ ನಿಮ್ಮ ಪಕ್ಕದಲ್ಲಿ ಇರುತ್ತೆ ವಿನಃ ಅದು ತೆರೆಯಲ್ಲ.ಅಣ್ಣ ನಮ್ಮಂತ ಮಾಸ್ ಆಡಿಯನ್ಸ್ ಗೆnನಿವು ತುಂಬ ಒಳ್ಳೆಯ ನಟ..ಸ್ವಲ್ಪ ಎಚ್ಚರಿಕೆಯಿಂದ ಕಥೆನ ಸೆಲೆಕ್ಟ್ ಮಾಡಿ..ನಿಮಗೆ ಕಂಡಿತ ಒಳ್ಳೆಯದಾಗುತ್ತೆ..,0
5513,ಇದು ಸ್ಲೋ ಅಡಿಕ್ಟ್ ಸಾಂಗ್ ಗುರು.nಅಡಿಕ್ಟ್ ಆಗೋದು ಪಕ್ಕಾ...,0
5514,ಹಾಡು ತುಂಬಾ ಚೆನ್ನಾಗಿ ಬರೆದಿದ್ದೀರಿnಹಾಡಿಗೆ ಸಂಗೀತ ತುಂಬಾ ಚೆನ್ನಾಗಿ ಮೂಡಿಬಂದಿದೆnಹಾಗಾಗಿ ಈ ಹಾಡು ಕೇಳಿದಾಗ ತುಂಬಾನೇ ಖುಷಿ ಆಯ್ತು,0
5515,ನೀವು ಅದ್ಬುತ ..... ಸಾಹಿತ್ಯ ತುಂಬ ಸೂಪರ್.....,0
5516,Namma devaru nimma devaru anta andkollodu samanyane.,0
5517,Climax Swalpa Change madbekittu...,1
5518,ತುಂಬಾ ಚೆನ್ನಾಗಿ ಬೈದ್ರಿ ನಿಮ್ಮ ಒಂದೊಂದು ಮಾತು ಮುತ್ತಿನಂತದ್ದು.......,0
5519,Nice bro ... Nanu ella China apps delete madidini,0
5520,ಕ್ಲೈಮಾಕ್ಸ್ ಚೇಂಜ್ ಮಾಡಿ ರೀ ರಿಲೀಸ್ ಮಾಡಿ ಚಿತ್ರ ಸುಪರ್ ಹಿಟ್ ಆಗುತ್ತೆ ಗ್ಯಾರೆಂಟಿ,0
5521,Full movie upload madri.. Ofter release pls,0
5522,ನಮ್ಮನೆಗು ಬಂದಿದ್ದ ನಾನು ಅವನಿಗೆ ಹೇಳಿದೆ ನಿನ್ನ ಬಗ್ಗೆನೇ ಟಿವಿಯಲ್ಲಿ ತೋರಿಸುತ್ತಿದ್ದಾರೆ ಅಂದೆ ಅದಕ್ಕೆ ಅವನು ಹೇಳಿದ ಹೆಣ್ಣು ಕೋಡಬೇಕಂತ ಎಲ್ಲಾ ಕಡೆ ಹೋಡಕೋತ್ತಿದ್ದಾರೆ. ಅಂತ ಹೇಳಿದಾ,0
5523,@Nandi Parthasarathi ನಂದಿನಿ ಅವ್ರೆ ನಿಮ್ಮ ಹಾಲು ತುಂಬಾ ಕಾಸ್ಟ್ಲಿ ಅಂತೇ ಹೌದ,2
5524,@d boss mania o brame nivu ede tara tilkolli avaru belitare,0
5525,ಸರ್ ನಿಮ್ಮಂತಹ ವ್ಯಕ್ತಿತ್ವದ ಜೀವನಕ್ಕೆ ನನ್ನ ಶರಣು-ಶರಣಾರ್ಥಿಗಳು! ಆ ಸೃಷ್ಟಿಕರ್ತನ ಅನುಗ್ರಹ ಸದಾ ನಿಮಗಿರಲಿ ಎಂದು ಹಾರೈಸುವೆ,0
5526,Rashmika Manddana goskra one sari  hogtini movie goskra Dina hogtina,0
5527,En super helidya bro innu eno beku,0
5528,super super boss,5
5529,Nav avnaa meet agboda sir?,0
5530,Yake avru uninstall madak hinde munde  nodtidare  andre.   Avrige  amount bartide  ansutte tiktok enda,1
5531,ಒಳ್ಳೆತನಕೆ ಜಯ ಸಿಗುತ್ತೆ,0
5532,Exclent 100 sure,5
5533,Nange ondu doubt ? mahabharatha nijavagi nadedidya ?? Or ಕಥೇನ??,0
5534,super togari tippa,5
5535,Thappu ella nima kelavodu dailog druva sarja thara ede sprrrr,0
5536,D BOSS FAN,5
5537,Allappa beta aaa,0
5538,@Venu real life llu haage iddidre accept madabahuditthuu alvaa.. !!!nEspecially obba natananna thumbaa abhimaanigalu fallow maadthaare so avru nija jeevanadallu  maadhari aagirabeke vinaha thappu madbaardu alvaa baree film lli maathra hero aagidre saaladuu real life llu kooda hero agirbeku aaga avaru obba nijavaada  manushya aagoke saadhya... !!!,0
5539,ಚಂದನ್ ಶೆಟ್ಟಿ ಟ್ರೊಲ್ ವಿಡಿಯೋ ನೀವು ನೋಡಿ ನೆಗಡ್ಡೆ ಇದ್ರೆ ನಾವ್ ಗ್ಯಾರಂಟಿ,0
5540,Super songs from,5
5541,Ah boss Ee boss antha group katobadllu.  Simple jeevna ne super,0
5542,ನಮಸ್ತೆ ಮಸ್ತ್ ಮಗಾ.ಕಾಮ್nnನಿಮ್ಮ ಚಾನಲ್ ಅಭಿಮಾನಿಗಳಲ್ಲೊಬ್ಬ ನಾನು...nನಿಮ್ಮ ವಿಡಿಯೋಗಳಿಗಾಗಿ ಕಾಯ್ತಿರ್ತೇನೆ...nnಈ ವಿಡಿಯೋ ನೋಡಿ ಯಾಕೋ ಒಂದಷ್ಟು ಚರ್ಚೆ ಮಾಡಬಹುದೇನೋ ಅನ್ನಿಸ್ತು... ನನಗನಿಸಿದ್ದನ್ನ ಹೇಳ್ತಿದೇನೆ... nಸರ್ಕಾರಗಳ ನಿರ್ಲಕ್ಷ್ಯದ ಬಗ್ಗೆ ನೀವಂದದ್ದು ಸರಿಯೇ... nಆದರೆ ತೀವ್ರತರ ಕೈಗಾರಿಕಾ ಕ್ರಾಂತಿ ಪರಿಸರದ ಮೇಲೆ ಮತ್ತು ವೈಯಕ್ತಿಕ ಜೀವನದ ಮೇಲೆ ಭಯಾನಕ ಪರಿಣಾಮ ಬೀರುತ್ತದೆ... n1. ಇಲ್ಲಿರುವ ಜನಸಂಖ್ಯಾ ಸಾಂದ್ರತೆಗೆ ತಕ್ಕ ಉದ್ಯೋಗಾವಕಾಶ ಸೃಷ್ಟಿ ಕಷ್ಟ...n2. ಇಂಧನ ಮತ್ತು ವಿದ್ಯುತ್ ಪೂರೈಕೆಗೂ ಹೆಚ್ಚಿನ ಪರಿಸರ ನಾಶ ಅನಿವಾರ್ಯವಾಗಬಹುದು...n3. ಇಲ್ಲಿನ ರಾಜಕೀಯ ಸ್ವರೂಪ ಮತ್ತು ಭ್ರಷ್ಟಾಚಾರ ಎಷ್ಟು ನಾಚಿಕೆಗೇಡಿನದ್ದಾಗಿದೆಯೋ ಅಷ್ಟೇ ಹೀನವಾಗಿ ಇಲ್ಲಿನ ಸಾಮಾಜಿಕ ಪಿಡುಗುಗಳಿವೆ (ಜಾತಿ,0
5543,super guru  D BOSS,5
5544,Superrrrrrrrrrrrrrrrrrrrrrrrn         Songggggggggggggggn,5
5545,Guru en helde guru suuuuper nE China deshdorge huttiro Nan maklu nodire jamun juice agigirutte pakka guru nin voice dialogue keltidre keltane irbeku anstide guru ..... But suuuuuuuuuper,3
5546,ಶಂಕರ್ ಅಶ್ವಥ್ ಸರ್ ನೀವು ಒಬ್ಬ ಒಳ್ಳೆಯ ವ್ಯಕ್ತಿ,0
5547,Looks promising,5
5548,Odeya  avane srimannarayana nRakshit shetty =likenDarshan = dislikenJai DBoobs dagarshan,0
5549,Super song ..,0
5550,ಅಶೋಕ್ ಅವರು ಕನ್ನಡದ Christopher Nolan....,0
5551,Super  song,5
5552,Rashika mandhana nodu namma Kannadada tiger naa,0
5553,Super movie sir,5
5554,Super movie.yallaru hogi nodi,0
5555,Jai d boss,5
5556,Good information sir but ivattu yako parokshavaģi  China desha vanna hogalida hage ittu adru ade nija  satya yavaglu kahiyagi irutte,0
5557,ಚಂದನ್ ಶೆಟ್ಟಿ ಟ್ರೊಲ್ ವಿಡಿಯೋ ನೀವು ನೋಡಿ ನೆಗಡ್ಡೆ ಇದ್ರೆ ನಾವ್ ಗ್ಯಾರಂಟಿ,0
5558,Sanskrit language bro....,5
5559,Good job..  Goahead mahn,0
5560,6-5=2 film ತಂಡ ಮಾಡಿದೆ andiddake...e ಫಿಲ್ಮ್ ತುಂಬಾ ಜನ ನೋಡದೆ ಇರ್ಬೋದು...aa ಫಿಲ್ಮ್ ತುಂಬಾ ಗಿಮಿಕ್ ಇಂದ ತುಂಬಿತ್ತು...but this film..has good story base...stop promoting with 6-5=2....all the best,1
5561,Guru super.... Evarige chenaag ittidiyaa,0
5562,Thu.... Gaandu.... Ninobba gandsa,2
5563,ಕಮ್ಯೂನಿಸ್ಟ್‌ ರಾಷ್ಟ್ರ ಅಲ್ವಲ್ಲ ಭಾರತ,0
5564,Superb... sandalwood Gentle man,5
5565,Nijvaaglu sir.olle information kottidiri,0
5566,Super  video,5
5567,Super Duper.. Song,5
5568,ಸರಿ ಇದೆ ಅಣ್ಣ,0
5569,Super song I like it,5
5570,Next song yavaga release madtira nWaiting🤗,0
5571,Shankar sir moulyayutha nudigalu,0
5572,Trailer Kooda 6 dina Trending alli ittu,0
5573,@Nandi Parthasarathi ಹುಚ್ಚು ಮುಂಡೆ,2
5574,Super ತೋಗರಿ ತೀಪ್ಪ,0
5575,howdu first time keldaga nangu ok anstu bt ega kelbeku anstide and sakkath dance moves,0
5576,Hate the dislikers .If it is true like me,1
5577,Super Boss idu actually bekagiddu ... tik tok madavruru sari yagi Thodineku,0
5578,Supper  guru,0
5579,@s s kirik party movie ali heroine name,5
5580,Sir Nimma Swabhimana innu jasthi agli hage Devru nimge innu jasthi Shakthi kodli antha devaranna nanu kelikolluthene,0
5581,super sr togari tippa,5
5582,#u osm BronIvrella common sense less kaacaha galu n# one app value gotthilla sedegalu,0
5583,Full comedy  super,5
5584,Yaaru Film nodkobandu keltiroru like maadi,0
5585,Making ತುಂಬಾ ಚನ್ನಾಗಿದೆ  Lyrics Not good,1
5586,Tusmika manganna Na tikha uriyang Ede... Rakshith Shetty ni hinge belibeku..avl mukli uriyeng,2
5587,@ಜೈ ಭಜರಂಗಿ##ವಿಶ್ವ avaru..dronara maga..,0
5588,@Nandi Parthasarathi ಸುಮ್ನೆ ಸೈಡ್ ಗೇ ಹೋಗು ಗೊತ್ತಲಾ ನಾನು ವಿಶಾಲ್ ಶೆಟ್ಟಿ ಅಲ್ಲಾ... ಮಿಂಡರುಗಾಳಿ,0
5589,Guru ellidde guru real Tallent irodhu ninge,0
5590,@Manoj Kolya Movie nododidre nodu.. Bittre bidu.. Loss ninge ne.. Movie onthu pakka Sandalwood Blockbuster agutte.. Doubt ee illa..,0
5591,Jai d boss,5
5592,Dboss thara ivnu jana galisoke.. dodda dodda dialogue bidalla media munde rakshit na avnge holisbedi,1
5593,Song is super.. But innu swalp fast madiddare sakattagirodu,0
5594,#1 ON TRENDING,0
5595,Super movie,0
5596,My favorite song,5
5597,Heloke padagale siktilla anno padakke artha sikkkantagide,0
5598,Nivu heliddu nija,0
5599,Super star Darshan fans ikada,5
5600,Super video madiddira,0
5601,TUNNE YASH BOLIMAGANE,1
5602,I like sir,5
5603,Anjali Devi hi,5
5604,Olle singer Brw ninu,0
5605,I love gojjekesari Sule gayash,2
5606,Super move,0
5607,Super boss nMake more vedio,5
5608,Tik Tok Banned Jolly Jolly  Jai Hind Jai Karnataka,5
5609,ಸರ್ ಇದನ್ನ ನಮ್ಮ ಕಲ್ಪನೆ ಸಿನಿಮಾ,0
5610,Bro nanu kichcha fan bro...,0
5611,Legit gaming ಅದು ಒಂದ್ ಪದ ಬಿಟ್ಟು ನೋಡು,0
5612,Super song guru,0
5613,ಈ ಚಿತ್ರ ಪ್ರಜ್ವಲ್ ಅವ್ರ ಕ್ಯರಿಯರ್ ಚೇಂಜ್ ಮಾಡೋ ಹಾಗೆ ಕಾಣ್ತಿದೆ ರಾಕಿ ಭಾಯ್ ಯಶ್ ಅಭಿಮಾನಿಗಳ ಕಡೆಯಿಂದ ಶುಭಾಶಯಗಳು🤗🤗🤗,0
5614,Entha movie multi language barbeku,0
5615,Samaj mai kuch nahi aaya I am from maharashtra par majaa aa gaya ..hero kaafi talented hai,5
5616,god bless u sir,5
5617,ಈ ಚಲನಚಿತ್ರವನ್ನು ನೋಡಿದ ನಂತರ,0
5618,ಎಲ್ಲಾ ನಂಬಿಕೆ ಅಷ್ಟೇ..,4
5619,Wow wt I seen ?? Osmm,5
5620,ಕನ್ನಡ ಚಿತ್ರರಂಗವು ಬೇರೆ ಚಿತ್ರರಂಗ ಕಿಂತ ಕಡಿಮೆ ಇಲ್ಲ ಎಂಬುವುದನ್ನು       ಅವನೇ... ಸಾಬೀತು ಪಡಿಸುತ್ತಾನೆ.,0
5621,@Usha Rao ಇವರಿಗೆ ಇದೆಲ್ಲ ಹೇಳಿದ್ರೆ ಅವರು ನಂಬೋಲ್ಲ......ಅವರದು ಒಂದು ರೀತಿ ಆಜ್ನ್ಯಾನ......ಜಾತಿ ವ್ಯವಸ್ಥೆಗೂ ದೇಶದ ಅಭಿವೃದ್ಧಿಗೂ ಸಂಬಂಧವಿಲ್ಲ,1
5622,Superb man,5
5623,Anna aa game yavdu,0
5624,Takathidre kariya thara movie madli,4
5625,ನಮ್ಮ ಸಾಂವಿದಾನ ಕಾನೂನು ಕಾರಣ,0
5626,Super bro yanke uninstall madbeku anno gandugale saryag helidira,0
5627,Super anna,0
5628,ಸೂಪರ್ ಸಾಂಗ್ ರಕ್ಷಿತ್ ಶೆಟ್ಟಿಯವರೆ ಮತ್ತು ಸೂಪರ್ ಟ್ಯಾಲೆಂಟ್,0
5629,ಕನ್ನಡದಲ್ಲೆ ಹೆಚ್ಚಾಗಿ ಮಾತನಾಡಿದ್ದಕ್ಕೆ ಧನ್ಯವಾದಗಳು...nAll the best sr,0
5630,China da environment hegide yargu gotila,0
5631,ಸೂಪರ್  ಡಿ ಬೋಸ್ಸ್ fan,0
5632,Super entertainment movie,0
5633,Hadsap handsap.......plzzzzzzz kannada cinima idndustige handsap me.........saport,0
5634,Yapppaaaa!  Yak guru istond hype e song ge?,2
5635,ನಿಮಗೆ ಒಳ್ಳೇದು ಆಗಲಿ ಸುದೀಪಣ್ಣ ಅಭಿಮಾನಿಗಳು,0
5636,Rock Siddu yaako gaandu soole magane naanu ninna thangina rape maadidna.. yelo mathannu ole mathanaadu.. nanagu baahi ide.. nanage gothilade thapagide.. Neenu mathado reethi badalisiko ...,2
5637,ಹೌದು ರೀ ನಿವು ಹೇಳಿದ್ದು correct,0
5638,So sad. Sir....,5
5639,tumba olle kathe,0
5640,@Shashank Raj ninu thika muchho lo yeno artha aythu ninge ಕಾಮೆಂಟ್ಸ್ ಓದೋದು ಕಲಿ 🤣🤣,2
5641,ತನ್ನ ಉತ್ತಮ ಗುಣಮಟ್ಟವನ್ನು ಸಾಬೀತು ಮಾಡುತ್ತಾ ಮುಂದೆ ಸಾಗುತ್ತಿದೆ... We love you  #ಮಸ್ತಮಗಾ team🤩,0
5642,ayoo super annaaaa,0
5643,ಅದ್ಭುತವಾಗಿದೆ ಚಿತ್ರ ದಿಯಾ,0
5644,Abbabba.... Super movie,0
5645,ಇದು ಚರಿತ್ರೆ ಸ್ರಷ್ಟಿಸೊ ಅವತಾರಾ,0
5646,Guru Deshpande sir you are just amazing,5
5647,Rakesht Shetty. Is. Super.,5
5648,Olledagli sir nimge..,0
5649,@TROLL MONSTER_KANNADA nSandalwood dagar dasa (DBOOBS),5
5650,Super sar song,0
5651,Idu charitre shrustisuva avatara idu charitre shrushtisuva cinema ASN,0
5652,ಟ್ರೈಲರ್ ತುಂಬಾ ಚೆನ್ನಾಗಿದೆnಜೈ ಡಿ ಬಾಸ್.......,0
5653,Super music avane srimannarayana movie super it movie anoru like me,0
5654,ಪುಣ್ಯಕೋಟಿ ಮೂವಿ ಬರುವ ತನಕ ರಕ್ಷಿತ್ ಶೆಟ್ಟಿ ಯವರ ಮೂವಿ ವೇಟ್ ?,0
5655,super song ma,0
5656,Hanna neve super,0
5657,Super... I'm so happy...,5
5658,Super movie I like it,5
5659,Super Jai hind,5
5660,@d boss mania Yegurkollale cake cutting puk,0
5661,Steps r just lit,5
5662,javari tippa superb ri,0
5663,@Raghul SUNIL PANZER WAS,5
5664,@poojitha subbaiah 🤣🤣,5
5665,@Ŕävîñđŕå_02_GøWđřú neenu beedhi soole maga.... neene bandu keliddu.... nan paadig naan comment maadidde.... Oh neev italy yavru alva lowdre.....?,2
5666,Charitre srustiso avatara.....,0
5667,YouTube nali upload agiroduna modhlu delete madsii,1
5668,@Nandi Parthasarathi ನಿಮ್ಮ ಅಪ್ಪ ದೊಡ್ ಗಾಂಡು ಸೂಳೆಮಗ,2
5669,Athu sari kannadanukku tamil actor Vida kannada actor thane pudikkum,5
5670,ಹಳೆಯ ನೆನಪು...ತೋಗರಿ ತಿಪ್ಪ,0
5671,@Mahesh Babu sule magne,2
5672,ಸೋಮಣ್ಣ ಮಾಚಿಮಾಡ Super,0
5673,ಕತೆ ಕತೆಯಾಗಿ ಇರುತ್ತೆ ಇದನ್ನು ನಂಬಲು ಅಸಾದ್ಯ,4
5674,Super  song,0
5675,tandhege takka maga,0
5676,@Nandi Parthasarathi 🤣🤣Joi D boos,5
5677,Super awesome bro,5
5678,Ulti music ajanish sir,5
5679,ಬೋಡ ಶೀರಾ ಅಭಿಮಾನಗಳು ಇಲ್ಲಿ ಲೈಕ್ ಮಾಡಿ,0
5680,@sᴀɴᴅᴀʟᴡᴏᴏᴅ sᴛᴜᴅɪᴏ ᴍᴏᴠɪᴇs irbahudh... but avn mundhe neen yavathidru baccha.. nnNenp idko ondh kanmada actorna nodi beliyodh kali. Adhna bittu avn hero ivn baccha anbeda. Nan Dharshan fan sudheep fan yash fan rakshith shetty kannada actor ellar fan..avr yaro obbaninda kannada film belyall kanale..,2
5681,Shankar Nag Nenapugalu,0
5682,Bgm release madi sir,0
5683,Bro niu videos dali torso gems name yanu,0
5684,ನನ್ನ ಪ್ರಕಾರ ಸಿನೆಮಾದ ಹೆಸರಿನ ಬಗ್ಗೆ ಇನ್ನಷ್ಟು ಗಮನ ಹರಿಸಬೇಕಿತ್ತು ಅನ್ನಿಸುತ್ತಿದೆ,1
5685,Ondondu maathu shalege chappali suthkondu hodeda hagide bro nnNkn chaina apps ban maadsi avar arthikathage hodetha bilali nnTq so much,1
5686,Ayo mostly avarige samskruti bhase barutee ansathe,0
5687,Neevu varshkke ondu cinema madru supper 1varshkke 34cinema madobadalige intha ondu cinema saku,0
5688,Guru ninge like beku andre kelu Kodthare adu bitu thandidabeda,2
5689,ಅನಿಸುತ್ತೆ ಬಂದಹಾಗಿದೆ ರಚಿಸಲು ಹೊಸ ಶಾಸನnಮೆರೆಯಲಿ ಗಗನದಿ ನಿಮ್ಮದೆ ಲಾಂಚನ,0
5690,ನೀನು ಗೆದ್ದೆ ಬಿಡು ಗುರು.....,0
5691,Div movie nodi thumba kushi aithu yakandre hen maklu jevanke atharavada movie thumba adbuthavagithu dia ond  sala nodidini bt  nange e movie na mathe mathe nodbeku anthasuthe. Nanganthu yala movie ista bt  dia thumba special yakae hege antha helodik agthila asta aithu sundravada love Thai preethi  2 hero's  obrg ibru kami illa dia nodvag kushi aithu prithi helthare anvaga kalkondru mathe bere  sambanda besadaga hale prethinali priiithi India duragi mathe bandy mathe kalkonda aa  ondu nimsha jeva kaldoithu bt  gene idru I love dia,0
5692,Insta link ಅಕಿದ್ದೀನಿ ನೋಡಿ bro ಅಲ್ಲಿ ಬಂದು,0
5693,Rashmika missed him!,0
5694,Swag se swagat,5
5695,@Nandi Parthasarathi kurishetra alla adu kurukshetra 🤣,2
5696,ಈ ಹಾಡನ್ನು ಹಾಡಿದ ವಿಜಯ ಪ್ರಕಾಶ voice ಯಾರಿಗೆಲ್ಲಾ ಇಷ್ಟವಾಗಿದೆ ಲೈಕ್ ಮಾಡಿಗಾಳಿ ಮಾತಿನ ಬಜಾರು ಸುದ್ದಿ ಸಾರಿದೆ..........@@@@,0
5697,Benki guru ninu,0
5698,@Supriya Manogna hospital na olage itkondidra doctor,0
5699,Pakka new year party song.... m/,0
5700,Onde baari hattu cinema bandre,0
5701,Super bro Sakkathagide bro,0
5702,Yava game idu,0
5703,D boss fans are like plzzz,5
5704,ಎನ್ ಹೇಳ್ದೇ ಗುರು ಸೂಪರ್ ಲವ್‌ ಯು..,0
5705,Bejar manporchi #PruthviAmber,5
5706,ನಿಜ್ವಗ್ಲೂ ಇದು ಸತ್ಯ ನಾ,0
5707,Nama Kannada channel Dinesh ss qthjjko,0
5708,Rakshit . Rishab,5
5709,Super bro,5
5710,Bangalore ಗೆ ಬನ್ನಿ ಕಾಲ್ ಮಾಡಿ 9743436877,0
5711,Super song..nnn Loved it,0
5712,super ತೊಗರಿ ತಿಪ್ಪ,0
5713,Hello dr. Vivek bindra video copy madidra? Never mind copy adru channagittu,0
5714,Matte film ge banni sir,0
5715,Super togare teppa,0
5716,ಸತ್ಯಕ್ಕೆ ಸಾವಿಲ್ಲ ಸುಳ್ಳಿಗೆ ಸುಖವಿಲ್ಲ  ಇದುಸತ್ಯ,0
5717,@Dhananjay Kinyaje yen promotion madtare ivaru. Bengaluru bittu yelladru hogtara promotion madakke?nTamil,3
5718,Nan November indha kaytiddhe,4
5719,Wow exlent verry new dfrent yellu kelilla nodilla danyavadagalu,0
5720,Super bro naanu Tik Tok maadtidde aadre adenu nam desha kintluu hechenalla namge nam desh beku adke yella chinaa apps na in install maadidini,0
5721,Super song,0
5722,Kannada chitrarangada HEMME,0
5723,Thank you bro,5
5724,Guru tiktok ban agbeku ninu correct guru,0
5725,Fan war bittu dhayvittu ee movie ge support madrappa nam kannada movie Hollywood level ge barli.,0
5726,@sujith naik tale mel hodiyoda ond kudlunu kithkollok agalla,2
5727,Iam your fan,5
5728,Un like madorge mana maryadine ella guru oledelidru kidodrthada adthare,3
5729,Gauri Keshav ಆಂಗ್ಲ ಭಾಷೆ ಬಳಸೋ ಕಾಲದಲ್ಲಿ ಅಚ್ಚ ಕನ್ನಡದಲ್ಲಿ ಸಾಹಿತ್ಯ ಬರೆದಿರುವ ಬರಹಗಾರರಿಗೆ ಕೋಟಿ ಕೋಟಿ ನಮನಗಳು,0
5730,೨೫ ವರ್ಷಗಳ ಹಿಂದಕ್ಕೆ ಕರೆದೊಯ್ದು ಬಿಸಾಕಿ ಬಿಟ್ಟಿತು ಈ ಕಥೆ,0
5731,@Ambrish Mallad beliyodu shata,2
5732,Sir nivu tumba olle olle programs madtira sir,0
5733,ಇವನೊಬ್ಬನ ಮುಂದೆ ಕನ್ನಡದ ಎಲ್ಲಾ ಟೀವಿ ಚಾನಲ್ ಗಳು ಮಂಡಿ ಯೂರಿ ಕುಳಿತು ಕಲಿತುಕೊಳ್ಳಬೇಕು.,0
5734,@Praveen P ik,5
5735,Music and BGM sakkat maga....,0
5736,@Troll Stupid Fans neenu Darshan ge huttirbeku adike avn bagge ne mathadthidiya nimman thulna keyya soole magane.nim amman thull ge kathe thunne sigaka hogi bale akolo aaa gaandu lucha thara,2
5737,sory sir teatarali film nodlike agilla tumba bejaride,0
5738,ಒಳ್ಳೆಯ ಟೇಸ್ಟ್ ಅನ್ನೋದು ಎಲ್ಲರಿಗೂ ಇರೊಲ್ಲ ಕೆಲವರಿಗೆ ಮಾತ್ರ,0
5739,ಈ ಸಿನಿಮಾಗೆ ಎಲ್ಲರೂ ಪ್ರೋತ್ಸಾಹಿಸಿ... ಇಂತಹ ಅತ್ಯುತ್ತಮ ಚಿತ್ರವನ್ನ ಬೆಳೆಸಿ...,0
5740,Sir u r attitude & dance killed performance,0
5741,Super my fevaret  thanks thaku soo mucha  ee janpadh hashy hakedhke shambhu bhalligar avarege kote kote ondhanegallu pls inodhu nuchen malaya edhe alla adhan hakepa pls,0
